# t1 t2 t3
0.0000232000 0.0001225000 0.0000037000
0.0000241000 0.0001071000 0.0000030000
0.0000247000 0.0001210000 0.0000035000
0.0000254000 0.0001224000 0.0000031000
0.0000261000 0.0001272000 0.0000035000
0.0000269000 0.0001279000 0.0000029000
0.0000275000 0.0001386000 0.0000034000
0.0000283000 0.0001407000 0.0000031000
0.0000290000 0.0001460000 0.0000039000
0.0000298000 0.0001464000 0.0000030000
0.0000306000 0.0001586000 0.0000037000
0.0000313000 0.0001576000 0.0000034000
0.0000321000 0.0001697000 0.0000041000
0.0000330000 0.0001639000 0.0000030000
0.0000338000 0.0001810000 0.0000040000
0.0000346000 0.0001824000 0.0000034000
0.0000354000 0.0001889000 0.0000043000
0.0000362000 0.0001878000 0.0000057000
0.0000373000 0.0002438000 0.0000042000
0.0000382000 0.0002039000 0.0000037000
0.0000389000 0.0002506000 0.0000047000
0.0000398000 0.0002126000 0.0000035000
0.0000406000 0.0002293000 0.0000043000
0.0000558000 0.0002234000 0.0000036000
0.0000414000 0.0002371000 0.0000046000
0.0000423000 0.0002389000 0.0000036000
0.0000434000 0.0002563000 0.0000045000
0.0000443000 0.0002833000 0.0000042000
0.0000604000 0.0003156000 0.0000053000
0.0000462000 0.0002852000 0.0000039000
0.0000470000 0.0002918000 0.0000047000
0.0000481000 0.0003054000 0.0000040000
0.0000491000 0.0003117000 0.0000051000
0.0000500000 0.0003172000 0.0000040000
0.0000509000 0.0003321000 0.0000048000
0.0000521000 0.0003433000 0.0000045000
0.0000530000 0.0003536000 0.0000055000
0.0000541000 0.0003484000 0.0000042000
0.0000549000 0.0003718000 0.0000051000
0.0000562000 0.0004300000 0.0000078000
0.0000703000 0.0004071000 0.0000059000
0.0000582000 0.0004686000 0.0000048000
0.0000592000 0.0004130000 0.0000055000
0.0000604000 0.0004301000 0.0000049000
0.0000617000 0.0004383000 0.0000060000
0.0000625000 0.0004339000 0.0000047000
0.0000940000 0.0005280000 0.0000063000
0.0000648000 0.0004805000 0.0000050000
0.0000658000 0.0004822000 0.0000059000
0.0000672000 0.0004781000 0.0000047000
0.0000681000 0.0005084000 0.0000061000
0.0000694000 0.0005743000 0.0000055000
0.0000707000 0.0005309000 0.0000062000
0.0000717000 0.0005395000 0.0000050000
0.0000727000 0.0005589000 0.0000061000
0.0000741000 0.0005653000 0.0000054000
0.0000752000 0.0005971000 0.0000064000
0.0000765000 0.0005812000 0.0000053000
0.0000776000 0.0006137000 0.0000063000
0.0000789000 0.0006196000 0.0000056000
0.0000802000 0.0006464000 0.0000069000
0.0000813000 0.0006719000 0.0000053000
0.0000826000 0.0006699000 0.0000065000
0.0001575000 0.0006747000 0.0000057000
0.0000914000 0.0007055000 0.0000068000
0.0001624000 0.0006907000 0.0000058000
0.0000960000 0.0007344000 0.0000069000
0.0001651000 0.0007789000 0.0000061000
0.0001009000 0.0007655000 0.0000073000
0.0001724000 0.0009028000 0.0000071000
0.0001060000 0.0007987000 0.0000073000
0.0001770000 0.0012155000 0.0000077000
0.0001177000 0.0008274000 0.0000077000
0.0001828000 0.0008068000 0.0000064000
0.0001174000 0.0008552000 0.0000072000
0.0001856000 0.0008536000 0.0000065000
0.0001219000 0.0008841000 0.0000079000
0.0001898000 0.0009210000 0.0000065000
0.0002301000 0.0009272000 0.0000076000
0.0001280000 0.0009154000 0.0000061000
0.0001992000 0.0009679000 0.0000080000
